ds,yhat,yhat_lower,yhat_upper,model,y
2029-01-27,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-02-17,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-03-10,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-03-31,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-04-21,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-05-12,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-06-02,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-06-23,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-07-14,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2029-08-04,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
